No,Table Name,Column Name,Data Type,Length,Default,Enum,NN,PK,FK,AI,INDEX,UNIQUE,Description
1001,Authenticates,id,integer,,,,Yes,Yes,No,Yes,No,No,ID/PASSWORD方式認証テーブルID
1002,Authenticates,auth_code,string,64,,,Yes,No,No,No,No,Yes,認証コード
1003,Authenticates,site_id,integer,,,,Yes,No,Yes,No,No,No,"サイトID
- 外部キー：Sites.id"
1004,Authenticates,entity_type,string,64,,,Yes,No,No,No,No,No,"参照先モデル
LaravelのModelPath形式
- App\Models\Companies
- App\Models\Operators
- App\Models\Users"
1005,Authenticates,entity_id,integer,,,,Yes,No,No,No,No,No,"参照先モデルのIDフィールド
- Companies.id
- Operators.id
- Users.id"
1006,Authenticates,login_code,string,50,,,Yes,No,No,No,No,No,ログインID
1007,Authenticates,password,string,255,,,Yes,No,No,No,No,No,パスワード：bcryptで暗号化
1011,Authenticates,expires_at,datetime,,,,Yes,No,No,No,No,No,有効期限
1008,Authenticates,created_at,datetime,,,,Yes,No,No,No,No,No,登録日時
1009,Authenticates,updated_at,datetime,,,,No,No,No,No,No,No,更新日時
1010,Authenticates,deleted_at,datetime,,,,No,No,No,No,No,No,削除日時
1101,AuthenticateOauths,id,integer,,,,Yes,Yes,No,Yes,No,No,oAuth方式認証テーブルID
1102,AuthenticateOauths,auth_code,string,64,,,Yes,No,No,No,No,Yes,認証コード
1103,AuthenticateOauths,site_id,integer,,,,Yes,No,Yes,No,No,No,"サイトID
- 外部キー：Sites.id"
1104,AuthenticateOauths,entity_type,string,64,,,Yes,No,No,No,No,No,"参照先モデル
LaravelのModelPath形式
- App\Models\Companies
- App\Models\Operators
- App\Models\Users"
1105,AuthenticateOauths,entity_id,integer,,,,Yes,No,No,No,No,No,"参照先モデルのIDフィールド
- Companies.id
- Operators.id
- Users.id"
1106,AuthenticateOauths,auth_provider_id,integer,,,,Yes,No,Yes,No,No,No,"認証プロバイダID
- 外部キー：AuthProviders.id"
1107,AuthenticateOauths,token,string,255,,,Yes,No,No,No,No,No,アクセストークン：encryptで暗号化
1108,AuthenticateOauths,expires_at,datetime,,,,Yes,No,No,No,No,No,有効期限
1109,AuthenticateOauths,created_at,datetime,,,,Yes,No,No,No,No,No,登録日時
1110,AuthenticateOauths,updated_at,datetime,,,,No,No,No,No,No,No,更新日時
1111,AuthenticateOauths,deleted_at,datetime,,,,No,No,No,No,No,No,削除日時
1201,AuthProviders,id,integer,,,,Yes,Yes,No,Yes,No,No,認証プロバイダテーブルID
1202,AuthProviders,provider_code,string,64,,,Yes,No,No,No,No,Yes,認証プロバイダコード
1203,AuthProviders,name,string,32,,,Yes,No,No,No,No,No,認証プロバイダ名
1204,AuthProviders,description,string,255,,,No,No,No,No,No,No,説明
1205,AuthProviders,is_enable,boolean,,false,,Yes,No,No,No,No,No,利用可能フラグ
1206,AuthProviders,created_at,datetime,,,,Yes,No,No,No,No,No,登録日時
1207,AuthProviders,updated_at,datetime,,,,No,No,No,No,No,No,更新日時
1208,AuthProviders,deleted_at,datetime,,,,No,No,No,No,No,No,削除日時
